#{"t_start": 1637425520.1133301, "env_id": null}
r,l,t
-981.325564,28,272.62943
-991.143239,23,272.904525
-983.963831,24,273.188581
-983.332073,28,273.49061
-990.168058,31,273.847989
-1042.054005,41,274.254441
-1050.020019,44,274.692987
-1105.705175,94,275.551732
-1010.522867,31,275.894894
-955.583623,62,276.487558
-998.503989,25,276.773896
-983.051744,28,277.116124
-1062.335409,59,277.70995
-987.63712,27,278.009881
-984.937515,16,278.215937
-985.818374,29,278.534456
-993.222629,30,278.871918
-1039.752756,42,279.299513
-1000.977195,32,279.659325
-1060.93704,76,280.422771
-983.689421,25,280.706441
-1061.699688,44,281.15481
-1020.425514,25,281.436721
-984.045891,25,281.717376
-1002.934582,34,282.082377
-1087.519389,49,282.574534
-1017.258169,16,282.792527
-981.83896,33,283.159432
-976.27222,51,283.676167
-1043.270372,26,283.956758
-997.433349,10,284.112532
-1092.501333,71,284.80271
-1068.01397,46,285.264641
-1080.782481,51,285.759945
-983.805682,26,286.066142
-1060.187736,44,286.531027
-1019.940443,35,286.896385
-989.405369,26,287.266074
-1050.527984,37,287.643222
-1056.489892,69,288.285341
-1030.4867,22,288.575999
-461.15139,501,292.922837
-1000.347387,28,293.24293
-457.648507,501,297.632586
-1038.266273,35,298.024539
-453.918695,501,302.378644
-1003.233072,29,302.741616
-982.440176,29,303.06164
-989.410256,23,303.354367
-1088.969285,93,304.222815
-457.99005,501,308.594163
-460.070201,501,312.993011
-1010.369852,32,313.342057
-455.19636,501,317.665159
-1039.628644,45,318.143174
-462.234773,501,322.525667
-456.551322,501,326.910269
-1039.611085,33,327.256736
-984.134508,21,327.512105
-458.028153,501,331.865381
-461.399411,501,336.254292
-458.489512,501,340.677129
-457.462911,501,344.997916
-1041.838225,47,345.472168
-460.855447,501,349.904745
-1007.057892,31,350.245774
-458.447227,501,354.680908
-989.837691,23,354.967437
-453.943071,501,359.40478
-991.251108,19,359.643672
-991.032432,21,359.902925
-459.914132,501,364.268214
-455.845092,501,368.620538
-1017.503742,35,369.018885
-458.653374,501,373.400625
-460.55703,501,377.755508
-456.466827,501,382.18465
-458.803935,501,386.55834
-995.876963,18,386.821589
-993.442266,26,387.137137
-990.651133,26,387.425087
-1040.480362,46,387.880464
-1007.016385,31,388.214327
-456.926561,501,392.57878
-1015.355756,18,392.799359
-1025.125553,38,393.183772
-456.738199,501,397.561117
-461.538355,501,401.949457
-995.018,20,402.183951
-469.934428,501,406.515806
-454.698491,501,410.894644
-1012.373887,34,411.250889
-458.298804,501,415.611923
-457.544702,501,419.969677
-990.605945,23,420.231268
-994.075159,20,420.489267
-460.533637,501,424.905317
-459.531233,501,429.332813
-452.605032,501,433.75352
-455.836649,501,438.177913
-455.860839,501,442.57401
-458.960025,501,447.012825
-459.175918,501,451.46133
-997.913853,20,451.708945
-457.528789,501,456.100884
-987.981989,24,456.387329
-460.843465,501,460.774034
-454.539423,501,465.202916
-994.35629,26,465.51708
-457.062182,501,469.931795
-1016.481275,18,470.152536
-457.532542,501,474.540444
-457.748477,501,478.929189
-454.99726,501,483.382982
-459.210563,501,487.830955
-1009.515895,33,488.183707
-456.384033,501,492.60777
-458.589298,501,497.077487
-458.521441,501,501.497392
-989.145724,23,501.793394
-1014.85292,35,502.166913
-992.717062,20,502.418261
-1012.962455,33,502.767435
-1009.44644,33,503.15899
-457.190507,501,507.564551
-1035.822862,43,508.01306
-991.815988,25,508.32005
-457.991172,501,512.716914
-994.269915,26,513.023578
-1005.121489,30,513.345687
-461.683401,501,517.735818
-455.993828,501,522.130586
-993.365662,20,522.37004
-461.263555,501,526.739923
-1012.34383,33,527.109427
-1009.240321,32,527.475747
-457.523177,501,531.909944
-458.558267,501,536.286199
-455.087789,501,540.646859
-460.530029,501,545.047622
-460.01101,501,549.53642
-457.864991,501,553.950729
-993.366978,25,554.253111
-996.284568,18,554.482062
-1026.691655,18,554.709904
-1002.302466,29,555.030873
-459.926618,501,559.394932
-1008.618106,31,559.767183
-1014.129616,35,560.153132
-986.919095,27,560.488167
-1082.422413,92,561.378134
-1133.458319,142,562.650586
-984.859871,24,562.944734
-1039.871384,47,563.417935
-1071.112522,64,564.044966
-1082.042175,90,564.873121
-985.82563,25,565.146962
-1138.873515,145,566.451487
-1174.670918,173,567.976176
-980.297592,36,568.369844
-457.465933,501,572.723125
-994.105528,20,572.974841
-1402.662354,420,576.687582
-508.948862,501,581.107609
-989.698878,10,581.269018
-1033.032,66,581.913798
-978.453178,47,582.388187
-1020.722654,78,583.117227
-994.739966,30,583.453353
-976.318863,21,583.693674
-974.254883,24,583.997219
-987.958349,13,584.179054
-972.870707,28,584.52474
-992.965928,27,584.858459
-937.592479,90,585.702278
-971.094719,46,586.159372
-1058.867015,47,586.634586
-1009.477755,43,587.081393
-998.215788,49,587.558994
-1004.600494,58,588.127938
-983.801516,38,588.533083
-958.252619,68,589.184615
-467.093806,501,593.586768
-1014.67919,34,593.942773
-994.376853,26,594.236284
-457.181897,501,598.614272
-1012.838001,33,598.999214
-459.027493,501,603.428111
-986.634706,23,603.692106
-1002.251497,29,604.03581
-1289.585183,293,606.616998
-1039.872571,28,606.936071
-1107.498385,67,607.584463
-1041.205535,40,608.005275
-1044.183238,24,608.267257
-1047.929179,43,608.704276
-1052.922644,112,609.726582
-996.370621,13,609.903442
-494.551069,501,614.281272
-988.106753,24,614.591271
-1184.656263,204,616.413949
-985.154074,26,616.693367
-984.777452,25,616.975365
-999.848761,17,617.195119
-989.889273,17,617.403761
-1043.11837,47,617.862999
-1216.313622,217,619.819149
-477.432814,501,624.226602
-456.350915,501,628.659749
-992.775306,20,628.899942
-988.985009,23,629.171143
-1012.033271,33,629.544387
-456.2031,501,633.921332
-993.573426,11,634.103064
-456.059607,501,638.499198
-1024.802563,20,638.757082
-1017.640781,35,639.14884
-996.274788,29,639.4645
-984.963688,29,639.778397
-984.784414,31,640.109437
-985.981405,26,640.405918
-483.484725,501,644.947587
-998.634465,29,645.292421
-995.767675,28,645.656919
-987.184566,23,645.975179
-984.608134,28,646.293582
-1074.092717,63,646.927403
-991.516115,23,647.19512
-980.540312,30,647.557008
-989.620185,31,647.917245
-984.358193,29,648.245754
-983.110381,28,648.576958
-456.907318,501,653.194603
-1017.629763,35,653.574827
-459.391539,501,658.273989
-1004.145256,31,658.625447
-464.152307,501,663.323406
-457.102193,501,667.874992
-1007.852649,31,668.249786
-1039.583618,43,668.720184
-458.649951,501,673.330166
-995.375292,19,673.563258
-1021.509063,19,673.798774
-1001.863656,17,674.020728
-1006.933091,32,674.415188
-456.337158,501,678.910229
-457.557266,501,683.441707
-452.46126,501,687.915762
-1029.648637,21,688.167907
-994.7783,17,688.389575
-461.806254,501,692.82835
-459.628482,501,697.292763
-995.559426,18,697.528306
-456.260483,501,702.036016
-456.077202,501,706.478916
-1006.738651,31,706.835871
-990.76666,23,707.136492
-465.255795,501,711.632895
-1041.182235,40,712.077228
-1017.372094,35,712.468822
-1012.110163,33,712.837273
-1007.513603,31,713.186336
-459.134286,501,717.608917
-461.112339,501,722.135878
-454.837323,501,726.648483
-461.902559,501,731.172322
-457.428075,501,735.722586
-1007.617702,31,736.06501
-1013.011406,33,736.444098
-989.797433,22,736.697422
-455.556026,501,741.178051
-1039.288344,45,741.708735
-457.715018,501,746.199976
-1025.153558,35,746.624063
-457.908509,501,751.14865
-455.652004,501,755.586899
-1012.102741,18,755.817936
-460.12483,501,760.320362
-456.803797,501,764.831653
-458.290697,501,769.35337
-459.967846,501,773.865604
-458.168559,501,778.32294
-990.721378,23,778.591225
-993.097895,26,778.89041
-1046.553772,49,779.403104
-994.220088,26,779.704195
-457.989833,501,784.160413
-459.217948,501,788.665562
-456.21192,501,793.163402
-994.342466,19,793.430449
-1014.912461,14,793.647356
-1006.989891,31,794.004519
-986.855533,15,794.223271
-456.469696,501,798.697633
-1010.182597,32,799.053212
-453.368678,501,803.620002
-990.982959,12,803.791895
-463.646788,501,808.295039
-995.799861,27,808.608186
-991.169358,24,808.896888
-991.276508,21,809.163086
-457.548669,501,813.612345
-989.922692,23,813.90437
-457.056799,501,818.375428
-986.81222,17,818.584441
-994.296024,20,818.899836
-457.675271,501,823.311949
-459.841028,501,827.779911
-1009.713392,32,828.181532
-456.398164,501,832.65705
-990.176515,23,832.941919
-460.603514,501,837.419776
-992.96148,21,837.684314
-457.376731,501,842.168187
-457.541581,501,846.632579
-993.089792,21,846.94064
-458.879029,501,851.506504
-1006.963392,19,851.740945
-1006.645631,31,852.088198
-462.610147,501,856.547807
-459.583489,501,861.062347
-454.020981,501,865.607914
-994.717014,26,865.91294
-457.53334,501,870.349868
-1028.550264,33,870.725295
-996.429159,18,870.948929
-454.250536,501,875.395668
-990.647944,24,875.669515
-457.81433,501,880.169449
-457.029779,501,884.679332
-456.575571,501,889.107769
-457.396173,501,893.653203
-459.050816,501,898.146086
-457.112442,501,902.600034
-464.08283,501,907.11895
-453.753207,501,911.633696
-458.302675,501,916.143851
-464.750524,501,920.676777
-460.542007,501,925.183477
-457.557759,501,929.685249
-458.4741,501,934.174065
-456.549156,501,938.695858
-990.842717,22,938.971575
-991.762983,24,939.258379
-995.825741,19,939.494971
-454.645439,501,943.942425
-993.490895,20,944.210752
-462.455675,501,948.743682
-1029.126922,36,949.16454
-461.536055,501,953.677095
-454.715053,501,958.193955
-998.810531,28,958.519182
-456.896096,501,962.99486
-459.232989,501,967.559713
-996.333431,27,967.884314
-1039.991813,45,968.347081
-988.762531,24,968.636593
-1018.103792,35,969.027048
-1004.58452,11,969.193654
-454.124785,501,973.628753
-1006.689652,31,974.036023
-989.14481,19,974.275306
-462.397583,501,978.861211
-456.878652,501,983.359433
-458.682113,501,987.840962
-458.764864,501,992.312184
-455.644629,501,996.826293
-994.433149,26,997.123729
-1040.380797,37,997.540809
-994.229579,20,997.782401
-459.55758,501,1002.224482
-458.539406,501,1006.738289
-995.624678,18,1007.007286
-993.750091,20,1007.272673
-462.192429,501,1011.744546
-991.903803,21,1011.995674
-993.966231,20,1012.238315
-454.241206,501,1016.689739
-990.279472,24,1017.014591
-465.080747,501,1021.495111
-1037.576968,45,1021.968949
-457.523954,501,1026.398667
-1010.398864,32,1026.742579
-992.285072,21,1027.007694
-461.407884,501,1031.518092
-459.504358,501,1036.0194
-1029.220906,37,1036.423917
-460.311811,501,1040.89951
-995.846111,18,1041.138123
-991.860305,25,1041.44098
-456.465022,501,1045.961749
-454.197113,501,1050.426829
-992.01719,21,1050.728626
-457.567209,501,1055.239568
-464.030897,501,1059.734656
-993.070704,26,1060.119833
-1040.30749,48,1060.640385
-457.540446,501,1065.080952
-462.315803,501,1069.60624
-986.680196,21,1069.858171
-995.230388,13,1070.040795
-459.582149,501,1074.47572
-451.542583,501,1078.997354
-992.74596,27,1079.335824
-460.764964,501,1083.806478
-461.487798,501,1088.329124
-459.387418,501,1092.780145
-1012.95292,33,1093.145516
-990.735514,23,1093.404561
-1007.82343,18,1093.625643
-458.129023,501,1098.042363
-459.643686,501,1102.532442
